service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ES:Euskotren:Service:1426:,1,1,1,1,1,0,0,20251127,20251230
ES:Euskotren:Service:1712:,1,0,0,1,0,0,1,20251130,20251228
ES:Euskotren:Service:1942:,0,0,0,0,0,1,0,20251129,20251227
ES:Euskotren:Service:2334:,0,0,0,0,0,0,1,20251214,20251214
ES:Euskotren:Service:2507:,0,0,0,0,0,1,0,20251206,20251206
ES:Euskotren:Service:2585:,1,1,1,1,1,0,0,20251127,20251230
ES:Euskotren:Service:2596:,1,0,0,1,0,1,1,20251129,20251228
ES:Euskotren:Service:2658:,1,0,0,1,0,0,0,20251208,20251225
ES:Euskotren:Service:2662:,0,0,0,0,0,1,0,20251206,20251206
ES:Euskotren:Service:2690:,0,0,1,0,0,0,0,20251203,20251203
ES:Euskotren:Service:2732:,1,1,1,1,0,0,0,20251127,20251231
ES:Euskotren:Service:2734:,0,0,0,0,1,0,0,20251128,20251226
ES:Euskotren:Service:2735:,0,0,0,0,0,1,0,20251129,20251227
ES:Euskotren:Service:2737:,0,0,0,0,0,0,1,20251214,20251228
ES:Euskotren:Service:2745:,0,0,0,0,0,1,0,20251213,20251220
ES:Euskotren:Service:2749:,0,0,0,0,0,0,1,20251130,20251130
ES:Euskotren:Service:2750:,1,0,0,0,0,0,0,20251201,20251201
ES:Euskotren:Service:2753:,0,0,0,0,0,0,1,20251221,20251221
ES:Euskotren:Service:2754:,0,0,1,0,0,0,0,20251210,20251210
ES:Euskotren:Service:49:,1,1,1,1,1,1,0,20251127,20251231
ES:Euskotren:Service:50:,1,0,0,1,0,1,1,20251130,20251228
