service_id,date,exception_type
ES:Euskotren:Service:1426:,20251203,2
ES:Euskotren:Service:1426:,20251208,2
ES:Euskotren:Service:1426:,20251210,2
ES:Euskotren:Service:1426:,20251224,2
ES:Euskotren:Service:1426:,20251225,2
ES:Euskotren:Service:1712:,20251201,2
ES:Euskotren:Service:1712:,20251204,2
ES:Euskotren:Service:1712:,20251211,2
ES:Euskotren:Service:1712:,20251215,2
ES:Euskotren:Service:1712:,20251218,2
ES:Euskotren:Service:1712:,20251221,2
ES:Euskotren:Service:1712:,20251222,2
ES:Euskotren:Service:1942:,20251206,2
ES:Euskotren:Service:2585:,20251208,2
ES:Euskotren:Service:2585:,20251224,2
ES:Euskotren:Service:2585:,20251225,2
ES:Euskotren:Service:2596:,20251201,2
ES:Euskotren:Service:2596:,20251204,2
ES:Euskotren:Service:2596:,20251211,2
ES:Euskotren:Service:2596:,20251214,2
ES:Euskotren:Service:2596:,20251215,2
ES:Euskotren:Service:2596:,20251218,2
ES:Euskotren:Service:2596:,20251222,2
ES:Euskotren:Service:2658:,20251211,2
ES:Euskotren:Service:2658:,20251215,2
ES:Euskotren:Service:2658:,20251218,2
ES:Euskotren:Service:2658:,20251222,2
ES:Euskotren:Service:2732:,20251201,2
ES:Euskotren:Service:2732:,20251208,2
ES:Euskotren:Service:2732:,20251225,2
ES:Euskotren:Service:2735:,20251206,2
ES:Euskotren:Service:2735:,20251213,2
ES:Euskotren:Service:2735:,20251220,2
ES:Euskotren:Service:49:,20251206,2
ES:Euskotren:Service:49:,20251208,2
ES:Euskotren:Service:49:,20251225,2
ES:Euskotren:Service:50:,20251201,2
ES:Euskotren:Service:50:,20251204,2
ES:Euskotren:Service:50:,20251211,2
ES:Euskotren:Service:50:,20251213,2
ES:Euskotren:Service:50:,20251215,2
ES:Euskotren:Service:50:,20251218,2
ES:Euskotren:Service:50:,20251220,2
ES:Euskotren:Service:50:,20251222,2
ES:Euskotren:Service:50:,20251227,2
