fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
ES:Euskotren:Fare:116777:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:116877:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:117080:,2.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:118259:,1.95,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:118686:,2.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:119007:,5.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:119073:,5.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:11:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:12995:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:13195:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:14731:,1.95,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:15682:,2.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:15754:,2.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:16817:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17017:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17117:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17150:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17324:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17522:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:17572:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:178546:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:178746:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:181036:,1.95,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:18172:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:18238:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:18436:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:18733:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:18801:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:18935:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:20185:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:20485:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:20675:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:20725:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:21325:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:21391:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:21490:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:21898:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:22034:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:22794:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:22978:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23354:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23604:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23654:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23688:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23754:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:23868:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:24330:,2.15,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:24980:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:25079:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:25247:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:254739:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_TrBi:,
ES:Euskotren:Fare:25553:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:25655:,7.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:26283:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:268660:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Funi:,
ES:Euskotren:Fare:268754:,2.10,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
