fare_id,route_id,origin_id,destination_id,contains_id
ES:Euskotren:Fare:116777:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:116877:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:117080:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:118259:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:118686:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:119007:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:119073:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:11:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:12995:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:13195:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:14731:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:15682:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:15754:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:16817:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:17017:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:17117:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:17150:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:17324:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:17522:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:17572:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:178546:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:178746:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:181036:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:18172:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:18238:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:18436:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:18733:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:18801:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:18935:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:20185:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:20485:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:20675:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:20725:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:21325:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:21391:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:21490:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:21898:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:22034:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:22794:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:22978:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:23354:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:23604:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:23654:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:23688:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:23754:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:23868:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:24330:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:24980:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:25079:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:25247:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:254739:,,ES:Euskotren:Zone:20:,ES:Euskotren:Zone:20:,
ES:Euskotren:Fare:25553:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:25655:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:26283:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:268660:,,ES:Euskotren:Zone:50:,ES:Euskotren:Zone:50:,
ES:Euskotren:Fare:268754:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:268910:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:268988:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:269026:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:269081:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:269136:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:269191:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:269246:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:269741:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:269780:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:269819:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:27009:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:270287:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:270331:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:270397:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:270661:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:270820:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:271516:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:271634:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:271868:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:271890:,,ES:Euskotren:Zone:7:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:271945:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:272000:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:272055:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:27259:,,ES:Euskotren:Zone:2:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:272660:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:272700:,,ES:Euskotren:Zone:40:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:27309:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:273180:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:273224:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:27343:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:273444:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:42:,
ES:Euskotren:Fare:273554:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:27409:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:274523:,,ES:Euskotren:Zone:18:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:274560:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:3:,
ES:Euskotren:Fare:27475:,,ES:Euskotren:Zone:6:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:274929:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:2:,
ES:Euskotren:Fare:275107:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:7:,
ES:Euskotren:Fare:275162:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:8:,
ES:Euskotren:Fare:275327:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:27541:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:275492:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:276771:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:27739:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:6:,
ES:Euskotren:Fare:277740:,,ES:Euskotren:Zone:3:,ES:Euskotren:Zone:18:,
ES:Euskotren:Fare:28201:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:40:,
ES:Euskotren:Fare:28851:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:41:,
ES:Euskotren:Fare:28953:,,ES:Euskotren:Zone:41:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:290945:,,ES:Euskotren:Zone:70:,ES:Euskotren:Zone:70:,
ES:Euskotren:Fare:29123:,,ES:Euskotren:Zone:42:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:29429:,,ES:Euskotren:Zone:4:,ES:Euskotren:Zone:43:,
ES:Euskotren:Fare:29497:,,ES:Euskotren:Zone:43:,ES:Euskotren:Zone:4:,
ES:Euskotren:Fare:29697:,,ES:Euskotren:Zone:8:,ES:Euskotren:Zone:4:,
