route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255880:,Bermeo,,0,,ES:Euskotren:RoutePoints:3183:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255890:,Bermeo,,0,,ES:Euskotren:RoutePoints:5254:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255900:,Bermeo,,0,,ES:Euskotren:RoutePoints:3183:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255910:,Matiko-Bilbao,,0,,ES:Euskotren:RoutePoints:5553:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255920:,Matiko-Bilbao,,0,,ES:Euskotren:RoutePoints:5801:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255940:,Bermeo,,0,,ES:Euskotren:RoutePoints:5254:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255950:,Bermeo,,0,,ES:Euskotren:RoutePoints:3183:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255960:,Matiko-Bilbao,,0,,ES:Euskotren:RoutePoints:5801:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255980:,Bermeo,,0,,ES:Euskotren:RoutePoints:5254:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13255990:,Matiko-Bilbao,,0,,ES:Euskotren:RoutePoints:5801:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256000:,Bermeo,,0,,ES:Euskotren:RoutePoints:5254:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256010:,Matiko-Bilbao,,0,,ES:Euskotren:RoutePoints:5801:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256020:,Bermeo,,0,,ES:Euskotren:RoutePoints:5254:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256030:,Matiko-Bilbao,,0,,ES:Euskotren:RoutePoints:5801:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256040:,Bermeo,,0,,ES:Euskotren:RoutePoints:5254:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256050:,Matiko-Bilbao,,0,,ES:Euskotren:RoutePoints:5801:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256060:,Bermeo,,0,,ES:Euskotren:RoutePoints:5254:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256070:,Matiko-Bilbao,,0,,ES:Euskotren:RoutePoints:5801:,1,0
ES:Euskotren:Line:10:,ES:Euskotren:Service:2658:,ES:Euskotren:Journey:13256080:,Bermeo,,0,,ES:Euskotren:RoutePoints:5254:,1,0
